Sample_ID,Ech,Type,run_name,barcode,year
CIMDEC_plaque_1_B1,B.cinerea,1_Vigne,CIMDEC_plaque_1,1,2023
CIMDEC_plaque_1_B2,B.pseudocinerea,1_Vigne,CIMDEC_plaque_1,2,2023
CIMDEC_plaque_1_B3,E.ampelina,1_Vigne,CIMDEC_plaque_1,3,2023
CIMDEC_plaque_1_B4,G.bidwellii,1_Vigne,CIMDEC_plaque_1,4,2023
CIMDEC_plaque_1_B5,D.ampelina,1_Vigne,CIMDEC_plaque_1,5,2023
CIMDEC_plaque_1_B6,S.sclerotiorum,2_Maraicher,CIMDEC_plaque_1,6,2023
CIMDEC_plaque_1_B7,A.dauci,2_Maraicher,CIMDEC_plaque_1,7,2023
CIMDEC_plaque_1_B8,C.acutatum,1_Vigne,CIMDEC_plaque_1,8,2023
CIMDEC_plaque_1_B9,P.viticola,1_Vigne,CIMDEC_plaque_1,9,2023
CIMDEC_plaque_1_B10,C.carotae,2_Maraicher,CIMDEC_plaque_1,10,2023
CIMDEC_plaque_1_B11,G.uvicola,1_Vigne,CIMDEC_plaque_1,11,2023
CIMDEC_plaque_1_B12,C.diplodiella,1_Vigne,CIMDEC_plaque_1,12,2023
CIMDEC_plaque_1_B29,Témoin,3_Témoin,CIMDEC_plaque_1,29,2023
