OTU,CIMDEC_plaque_1_B8,CIMDEC_plaque_1_B5,CIMDEC_plaque_1_B6,CIMDEC_plaque_1_B1,CIMDEC_plaque_1_B3,CIMDEC_plaque_1_B9,CIMDEC_plaque_1_B11,CIMDEC_plaque_1_B2,CIMDEC_plaque_1_B7,CIMDEC_plaque_1_B10,CIMDEC_plaque_1_B4,CIMDEC_plaque_1_B12,CIMDEC_plaque_1_B29
KJ718158.1,57,49,76,37,26,31,39,45,134089,17,1787,15,93
MH860044.1,99,89,13127,154762,96,125,68,156130,75,70,6849,54,232
KX887186.1,5,15,20,23,112523,4,7,37,10,5,380,0,16
JN906978.1,5,1,14,8,3,39297,4,9,3,2,5,2,1123
MN944491.1,23,18,150871,11,13,7,11,6,14,10,14,6,30
MW138779.1,6,6,51446,4,5,9,3,4,5,2,11,2,28
MW633475.1,13,14,10,6,8,26891,14,3,11,51,10,8,6539
KF564282.1,18,11,13,14,7,8,146597,17,7,22,20,11,15
MK096312.1,0,0,0,0,0,0,0,0,0,0,0,0,0
GU727560.1,0,0,0,0,0,0,0,0,0,0,0,0,0
MH862886.1,34,16,19,16,10,93,43,11,15,32,19,135517,23
MH866022.1,0,0,0,0,0,806,0,0,0,0,0,0,1
MZ424694.1,62893,22,17,9,4,10,0,0,15,6,12,0,18
MT586827.1,31,38,38,14,12,37,125,21,25,47389,42,25,26
MW031265.1,0,0,0,0,0,0,0,0,0,0,0,0,0
GU237833.1,0,3,3,1,1,2266,0,0,0,2,0,0,3
MH487549.1,1,1,1,0,0,1,0,0,0,1,0,0,1
KJ707062.1,0,0,0,0,0,60,0,0,0,0,0,0,0
MK404325.1,0,0,0,0,0,1835,0,0,0,0,0,0,0
OL989249.1,0,0,0,0,0,77,0,0,0,0,0,0,0
MK817036.1,1,11504,2,1,1,0,1,1,0,0,2,0,1
HM004513.1,0,0,0,0,0,17,0,0,0,0,0,0,0
JN383493.1,0,0,0,0,0,0,0,1,1,0,0,0,0
MW173048.1,0,0,0,0,0,218,0,0,0,0,0,0,0
MW710688.1,0,0,0,0,0,161,0,0,0,0,0,0,0
AB546953.1,0,0,0,0,0,1,0,0,0,0,0,0,0
