OTU,Domain,Phylum,Class,Order,Family,Genus,Species
MN944491.1,k__Eukaryota,p__Ascomycota,c__sordariomyceta,o__Helotiales,f__Sclerotiniaceae,g__Sclerotinia,s__Sclerotinia_trifoliorum
MH860044.1,k__Eukaryota,p__Ascomycota,c__sordariomyceta,o__Helotiales,f__Sclerotiniaceae,g__Botrytis,s__Botrytis_cinerea
MW138779.1,k__Eukaryota,p__Ascomycota,c__sordariomyceta,o__Helotiales,f__Sclerotiniaceae,g__Sclerotinia,s__Sclerotinia_sclerotiorum
MH856176.1,k__Eukaryota,p__Ascomycota,c__sordariomyceta,o__Helotiales,f__Sclerotiniaceae,g__Botrytis,s__Botrytis_squamosa
MH856435.1,k__Eukaryota,p__Ascomycota,c__sordariomyceta,o__Helotiales,f__Sclerotiniaceae,g__Botrytis,s__Botrytis_porri
Z99672.1,k__Eukaryota,p__Ascomycota,c__sordariomyceta,o__Helotiales,f__Sclerotiniaceae,g__Sclerotinia,s__Sclerotinia_tetraspora
LC228670.1,k__Eukaryota,p__Ascomycota,c__sordariomyceta,o__Helotiales,f__Sclerotiniaceae,g__Nervostroma,s__Nervostroma_depraedans
KJ718158.1,k__Eukaryota,p__Ascomycota,c__dothideomyceta,o__Pleosporales,f__Pleosporaceae,g__Alternaria,s__Alternaria_dauci
KF564282.1,k__Eukaryota,p__Ascomycota,c__sordariomyceta,o__Diaporthales,f__Melanconiellaceae,g__Greeneria,s__Greeneria_uvicola
KJ941072.1,k__Eukaryota,p__Ascomycota,c__sordariomyceta,o__Helotiales,f__Sclerotiniaceae,g__Myriosclerotinia,s__Myriosclerotinia_curreyana
MZ424694.1,k__Eukaryota,p__Ascomycota,c__sordariomyceta,o__Glomerellales,f__Glomerellaceae,g__Colletotrichum,s__Colletotrichum_acutatum
MK894584.1,k__Eukaryota,p__Ascomycota,c__sordariomyceta,o__Helotiales,f__Sclerotiniaceae,g__Stromatinia,s__Stromatinia_cepivora
MT586827.1,k__Eukaryota,p__Ascomycota,c__dothideomyceta,o__Mycosphaerellales,f__Mycosphaerellaceae,g__Neocercospora,s__Neocercospora_carotae
KX887186.1,k__Eukaryota,p__Ascomycota,c__dothideomyceta,o__Myriangiales,f__Elsinoaceae,g__Elsinoe,s__Elsinoe_ampelina
MZ150299.1,k__Eukaryota,p__Ascomycota,c__sordariomyceta,o__Diaporthales,f__Diaporthaceae,g__Diaporthe,s__Diaporthe_ambigua
MH862886.1,k__Eukaryota,p__Ascomycota,c__sordariomyceta,o__Diaporthales,f__Schizoparmaceae,g__Coniella,s__Coniella_diplodiella
GU237833.1,k__Eukaryota,p__Ascomycota,c__dothideomyceta,o__Pleosporales,f__Didymellaceae,g__Didymella,s__Didymella_arachidicola
AF347031.1,k__Eukaryota,p__Ascomycota,c__dothideomyceta,o__Pleosporales,f__Pleosporaceae,g__Alternaria,s__Alternaria_alternata
KM265189.1,k__Eukaryota,p__Ascomycota,c__sordariomyceta,o__Helotiales,f__Sclerotiniaceae,g__Sclerotinia,s__Sclerotinia_nivalis
MT345006.1,k__Eukaryota,p__Ascomycota,c__sordariomyceta,o__Glomerellales,f__Glomerellaceae,g__Colletotrichum,s__Colletotrichum_godetiae
MK817036.1,k__Eukaryota,p__Ascomycota,c__sordariomyceta,o__Diaporthales,f__Diaporthaceae,g__Diaporthe,s__Diaporthe_ampelina
MH854739.1,k__Eukaryota,p__Ascomycota,c__sordariomyceta,o__Helotiales,f__Sclerotiniaceae,g__Botrytis,s__Botrytis_byssoidea
AF033475.1,k__Eukaryota,p__Ascomycota,c__leotiomyceta,o__Eurotiales,f__Aspergillaceae,g__Penicillium,s__Penicillium_polonicum
JN906978.1,k__Eukaryota,p__Ascomycota,c__dothideomyceta,o__Cladosporiales,f__Cladosporiaceae,g__Cladosporium,s__Cladosporium_aphidis
MW633475.1,k__Eukaryota,p__Ascomycota,c__dothideomyceta,o__Cladosporiales,f__Cladosporiaceae,g__Cladosporium,s__Cladosporium_herbarum
MH855943.1,k__Eukaryota,p__Ascomycota,c__dothideomyceta,o__Pleosporales,f__Didymellaceae,g__Epicoccum,s__Epicoccum_nigrum
DQ780364.1,k__Eukaryota,p__Ascomycota,c__dothideomyceta,o__Cladosporiales,f__Cladosporiaceae,g__Cladosporium,s__Cladosporium_halotolerans
MH107884.1,k__Eukaryota,p__Ascomycota,c__sordariomyceta,o__Glomerellales,f__Glomerellaceae,g__Colletotrichum,s__Colletotrichum_kniphofiae
MH861018.1,k__Eukaryota,p__Ascomycota,c__sordariomyceta,o__Hypocreales,f__Nectriaceae,g__Fusarium,s__Fusarium_robustum
MH361212.1,k__Eukaryota,p__Ascomycota,c__sordariomyceta,o__Hypocreales,f__Nectriaceae,g__Fusarium,s__Fusarium_culmorum
KJ131184.1,k__Eukaryota,p__Ascomycota,c__sordariomyceta,o__Helotiales,f__Sclerotiniaceae,g__Monilinia,s__Monilinia_fructicola
MT441588.1,k__Eukaryota,p__Ascomycota,c__sordariomyceta,o__Hypocreales,f__Nectriaceae,g__Fusarium,s__Fusarium_sambucinum
MG736181.1,k__Eukaryota,p__Ascomycota,c__sordariomyceta,o__Hypocreales,f__Nectriaceae,g__Fusarium,s__Fusarium_poae
MW016616.1,k__Eukaryota,p__Ascomycota,c__sordariomyceta,o__Hypocreales,f__Nectriaceae,g__Fusarium,s__Fusarium_kyushuense
KC343063.1,k__Eukaryota,p__Ascomycota,c__sordariomyceta,o__Diaporthales,f__Diaporthaceae,g__Diaporthe,s__Diaporthe_detrusa
MH018134.1,k__Eukaryota,p__Ascomycota,c__dothideomyceta,o__Pleosporales,f__Phaeosphaeriaceae,g__Neosetophoma,s__Neosetophoma_guiyangensis
MF164487.1,k__Eukaryota,p__Ascomycota,c__sordariomyceta,o__Hypocreales,f__Nectriaceae,g__Fusarium,s__Fusarium_graminearum
KR232407.1,k__Eukaryota,p__Ascomycota,c__dothideomyceta,o__Mycosphaerellales,f__Mycosphaerellaceae,g__Neocercospora,s__Neocercospora_ammicola
LR993310.1,k__Eukaryota,p__Ascomycota,c__dothideomyceta,o__Pleosporales,f__Phaeosphaeriaceae,g__Paraphoma,s__Paraphoma_variabilis
KF941308.1,k__Eukaryota,p__Ascomycota,c__dothideomyceta,o__Mycosphaerellales,f__Mycosphaerellaceae,g__Cercospora,s__Cercospora_carotae
MT185475.1,k__Eukaryota,p__Ascomycota,c__sordariomyceta,o__Hypocreales,f__Nectriaceae,g__Fusarium,s__Fusarium_tricinctum
KJ490633.1,k__Eukaryota,p__Ascomycota,c__sordariomyceta,o__Diaporthales,f__Diaporthaceae,g__Diaporthe,s__Diaporthe_multigutullata
MN688804.1,k__Eukaryota,p__Ascomycota,c__dothideomyceta,o__Pleosporales,f__Pleosporaceae,g__Curvularia,s__Curvularia_canadensis
KJ846807.1,k__Eukaryota,p__Ascomycota,c__sordariomyceta,o__Glomerellales,f__Glomerellaceae,g__Colletotrichum,s__Colletotrichum_tamarilloi
KY979755.1,k__Eukaryota,p__Ascomycota,c__dothideomyceta,o__Pleosporales,f__Didymellaceae,g__Pseudopeyronellaea,s__Pseudopeyronellaea_eucalypti
OM283110.1,k__Eukaryota,p__Ascomycota,c__sordariomyceta,o__Diaporthales,f__Schizoparmaceae,g__Coniella,s__Coniella_vitis
MK799996.1,k__Eukaryota,p__Ascomycota,c__dothideomyceta,o__Pleosporales,f__Pleosporaceae,g__Curvularia,s__Curvularia_subpapendorfii
KT389508.1,k__Eukaryota,p__Ascomycota,c__dothideomyceta,o__Pleosporales,f__Didymellaceae,g__Neoascochyta,s__Neoascochyta_desmazieri
JQ948459.1,k__Eukaryota,p__Ascomycota,c__sordariomyceta,o__Glomerellales,f__Glomerellaceae,g__Colletotrichum,s__Colletotrichum_acerbum
KU850565.1,k__Eukaryota,p__Ascomycota,c__dothideomyceta,o__Pleosporales,f__Pleosporaceae,g__Stemphylium,s__Stemphylium_vesicarium
