OTU	CIMDEC_plaque_1_B25	CIMDEC_plaque_1_B8	CIMDEC_plaque_1_B5	CIMDEC_plaque_1_B6	CIMDEC_plaque_1_B1	CIMDEC_plaque_1_B3	CIMDEC_plaque_1_B27	CIMDEC_plaque_1_B9	CIMDEC_plaque_1_B11	CIMDEC_plaque_1_B2	CIMDEC_plaque_1_B7	CIMDEC_plaque_1_B10	CIMDEC_plaque_1_B4	CIMDEC_plaque_1_B31	CIMDEC_plaque_1_B12	CIMDEC_plaque_1_B29
KJ718158.1	58871	57	49	76	37	26	18723	31	39	45	134089	17	1787	10097	15	93
MH860044.1	172421	99	89	13127	154762	96	45343	125	68	156130	75	70	6849	23298	54	232
KX887186.1	2756	5	15	20	23	112523	1013	4	7	37	10	5	380	19475	0	16
JN906978.1	3619	5	1	14	8	3	945	39297	4	9	3	2	5	1534	2	1123
MN944491.1	15588	23	18	150871	11	13	2145	7	11	6	14	10	14	14277	6	30
MW138779.1	6436	6	6	51446	4	5	3301	9	3	4	5	2	11	4780	2	28
MW633475.1	2979	13	14	10	6	8	1095	26891	14	3	11	51	10	3042	8	6539
KF564282.1	5251	18	11	13	14	7	2000	8	146597	17	7	22	20	13761	11	15
MK096312.1	368	0	0	0	0	0	82	0	0	0	0	0	0	0	0	0
GU727560.1	86	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0
MH862886.1	4291	34	16	19	16	10	1411	93	43	11	15	32	19	19331	135517	23
MH866022.1	173	0	0	0	0	0	52	806	0	0	0	0	0	47	0	1
MZ424694.1	325	62893	22	17	9	4	102	10	0	0	15	6	12	11690	0	18
MT586827.1	2991	31	38	38	14	12	941	37	125	21	25	47389	42	25572	25	26
MW031265.1	28	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0
GU237833.1	278	0	3	3	1	1	114	2266	0	0	0	2	0	194	0	3
MH487549.1	808	1	1	1	0	0	15	1	0	0	0	1	0	0	0	1
KJ707062.1	29	0	0	0	0	0	3	60	0	0	0	0	0	5	0	0
MK404325.1	500	0	0	0	0	0	159	1835	0	0	0	0	0	119	0	0
OL989249.1	20	0	0	0	0	0	4	77	0	0	0	0	0	13	0	0
MK817036.1	88	1	11504	2	1	1	72	0	1	1	0	0	2	376	0	1
HM004513.1	88	0	0	0	0	0	0	17	0	0	0	0	0	2	0	0
JN383493.1	43	0	0	0	0	0	4	0	0	1	1	0	0	0	0	0
MW173048.1	71	0	0	0	0	0	26	218	0	0	0	0	0	19	0	0
MW710688.1	58	0	0	0	0	0	7	161	0	0	0	0	0	12	0	0
AB546953.1	84	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0
AY143076.1	678	0	0	0	0	1	167	0	1	0	2	1	0	0	0	0
MW722992.1	205	0	0	0	0	0	85	0	0	0	0	0	0	0	0	0
HE608895.1	42	0	0	0	0	0	6	90	0	0	0	0	0	9	0	0
FJ266483.1	143	0	0	0	0	1	7	19	0	0	0	0	2	4	0	54
MZ150299.1	1207	19	120112	33	5	6	324	9	6	6	6	4	19	8857	6	11
KR232407.1	159	1	1	1	0	0	91	6	4	1	1	1636	1	242	1	3
MG591878.1	99	0	0	0	0	0	72	0	2	0	0	0	0	0	0	0
AF347031.1	522	10	13	22	7	11	349	2721	26	14	10	30	230	242	7	16654
MK953365.1	472	1	0	0	0	0	115	1858	0	0	0	0	0	127	0	0
MN992240.1	9	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0
KU821452.1	263	0	0	0	0	0	37	3320	0	0	0	2	0	64	0	20
KT384413.1	32	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0
MT185530.1	8	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0
MH856435.1	263	1	1	373	1	0	158	0	1	1	1	0	0	37	0	0
AY167436.1	2	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0
MG605063.1	77	0	0	0	0	0	26	0	0	0	0	0	0	0	0	0
U34580.1	131	0	0	0	0	0	52	80	0	0	0	1	0	43	0	0
AY339317.1	11	0	0	0	0	0	9	0	0	0	0	0	0	0	0	1
MT446068.1	151	0	0	0	0	0	32	424	0	0	0	0	0	27	0	0
MT185475.1	187	0	0	0	0	0	67	1221	0	0	0	0	0	96	0	0
AF358233.1	109	0	0	0	0	0	31	356	0	0	0	0	0	28	0	0
MH855943.1	106	6	8	9	12	4	31	905	10	6	6	43	972	180	7	10046
MG696592.1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MZ531891.1	1	0	0	0	0	0	1	8	0	0	0	0	0	2	0	3
MK409349.1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MW114356.1	114	0	0	0	0	0	44	1	0	0	0	0	0	1	0	0
MN200199.1	121	0	0	0	0	0	49	711	0	0	0	0	1985	274	0	0
KY924929.1	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
KF495033.1	10	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0
JF499850.1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
JQ948459.1	1	22	0	0	0	0	0	0	0	0	0	0	0	4	0	0
KR859086.1	125	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
JQ281774.1	6	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0
KX833591.1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
KT389508.1	12	0	0	0	0	0	0	93	0	0	0	0	0	5	0	0
MH859629.1	45	0	0	0	0	0	16	15	0	0	0	0	0	0	0	0
KJ131184.1	9	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
KP278161.1	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MH384910.1	4	0	0	0	0	0	1	19	0	0	0	0	0	2	0	0
MG866025.1	5	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0
MH861018.1	80	0	0	0	0	0	38	408	0	0	0	0	0	28	0	0
MH361212.1	144	0	0	0	0	0	40	444	0	0	0	0	0	33	0	0
LT990655.1	68	0	0	0	0	0	21	314	0	0	0	0	0	25	0	0
GU214638.1	9	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
EU301056.1	31	0	0	0	0	0	8	0	1	0	0	0	0	0	0	0
KF499365.1	34	0	0	0	1	0	0	0	0	0	0	0	3	0	0	0
KJ710467.1	5	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
KP004456.1	12	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0
JN383482.1	128	0	0	0	0	1	19	3	0	1	0	0	0	0	0	2
KM265189.1	17	0	0	39	0	0	12	0	0	0	0	0	0	3	0	0
MF952667.1	5	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0
MH018134.1	28	0	0	0	0	0	13	184	0	0	0	0	0	18	0	0
MH858205.1	42	0	0	0	0	0	13	159	0	0	0	5	0	13	0	0
MG826989.1	11	0	0	0	0	0	3	13	0	0	0	0	0	0	0	0
MT441588.1	10	0	0	0	0	0	2	48	0	0	0	0	0	2	0	0
MF795575.1	1	3	0	0	0	0	2	0	0	0	0	2	0	5	0	1487
KY696717.1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MF164487.1	58	0	0	0	0	0	30	406	0	0	0	0	0	31	0	0
MT658095.1	4	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
JN033448.1	3	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0
