OTU,CIMDEC_plaque_2_B86,CIMDEC_plaque_2_B87,CIMDEC_plaque_2_B88,CIMDEC_plaque_2_B89,CIMDEC_plaque_2_B84,CIMDEC_plaque_2_B81,CIMDEC_plaque_2_B92,CIMDEC_plaque_2_B83,CIMDEC_plaque_2_B90,CIMDEC_plaque_2_B93,CIMDEC_plaque_2_B82,CIMDEC_plaque_2_B85,CIMDEC_plaque_2_B94,CIMDEC_plaque_2_B91,CIMDEC_plaque_2_B96,CIMDEC_plaque_2_B95
MH860044.1,6496,110,169,180,1892,117832,96,255,162,33788,102567,139,15018,126,136,19485
MW138779.1,30870,15,15,16,26,13,15,29,16,1887,18,25,511,8,19,3660
KJ718158.1,229,71331,184,132,662,154,80,141,127,14125,149,137,8075,103,117,2306
KF564282.1,87,50,84,89,70,72,45,71,106,1556,65,57,1679,79237,45,9649
MZ424694.1,44,35,60655,40,50,52,15,41,37,577,33,31,166,34,29,6995
MT586827.1,51,27,42,47,45,54,25,56,61536,1263,43,54,660,42,34,7466
KX887186.1,35,21,27,29,601,38,12,81057,21,1092,20,18,760,20,26,7692
MZ150299.1,88,37,55,47,61,45,27,88,39,256,48,64745,253,54,25,10509
MH862886.1,83,36,72,80,71,57,60285,62,58,1420,67,58,1483,59,49,7580
GU237833.1,4,2,1,2580,2,2,2,3,0,101,2,0,1,2,2,285
AF347031.1,13,1,7,13170,10,13,7,18,6,814,12,12,1142,10,6,1609
KM265189.1,63,0,0,0,0,0,0,0,0,3,0,0,3,0,0,3
MK817036.1,12,5,7,3,3,5,3,10,6,42,8,7714,36,3,5,514
AF033475.1,9,10,9,12,7,8,4,9,8074,235,6,8,202,5,6,1165
JN906978.1,6,0,3,3207,4,6,1,6,1,137,5,1,537,1,2,375
MW633475.1,3,4,7,9543,3,6,6,5,6,418,6,2,661,3,6,1230
MH855943.1,2,4,12,4452,123,3,2,5,6,221,8,3,295,5,57,507
DQ780364.1,4,0,2,1,2321,3,0,9,2,1,5,3,3,3,4,424
MH107884.1,3,0,838,0,2,2,1,2,2,7,0,3,5,2,0,49
MH861018.1,7,2,1,3129,3,6,1,10,3,287,5,3,312,3,1,762
KJ131184.1,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
MW016616.1,1,0,0,123,0,2,0,0,1,3,0,0,6,0,0,16
MH018134.1,1,0,0,1023,1,2,1,0,2,57,0,1,81,0,0,114
MF164487.1,1,0,0,1362,0,0,2,1,2,46,0,0,24,0,0,111
LR993310.1,0,1,0,0,221,0,0,1,0,0,1,0,0,0,0,45
MT185475.1,0,2,2,1179,0,0,0,0,0,53,0,0,17,0,0,136
KJ490633.1,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0
MN688804.1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
KJ846807.1,0,1,34,0,0,0,0,0,0,2,0,0,0,0,0,6
KY979755.1,0,1,0,60,0,0,0,0,0,5,0,0,0,0,0,5
MK799996.1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
KT389508.1,0,2,0,461,2,0,1,0,0,20,0,0,0,0,0,34
KU850565.1,0,0,45,1,0,0,0,1,0,0,0,0,0,0,21,4
MN200199.1,0,0,4,328,93,0,0,0,0,31,0,1,70,0,0,67
KY105910.1,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0
EU153512.1,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0
KT600411.1,0,0,1,8,220,0,0,0,1,0,0,0,1,0,0,34
HE861822.1,0,0,1,396,0,0,0,0,0,22,0,0,0,0,0,48
KC848278.1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
MG828928.1,0,0,1,110,0,0,0,0,0,11,0,0,0,0,0,7
MK539966.1,0,0,0,423,0,0,0,0,0,26,0,0,51,1,0,57
MT214359.1,0,0,0,30,0,0,0,0,0,0,1,0,0,0,0,3
MK539972.1,0,0,0,58,0,0,0,0,0,1,1,0,0,0,0,10
AF444354.1,0,0,0,59,0,0,0,0,0,5,0,0,0,0,0,5
KJ939279.1,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0
MG865518.1,0,0,0,26,0,0,0,0,0,0,0,0,3,0,0,7
AF222850.1,0,0,0,239,0,0,0,0,0,4,0,0,6,0,1,10
KY703619.1,0,0,0,44,0,0,0,0,0,0,0,0,0,0,1,9
DQ323697.1,0,0,0,508,0,1,0,0,0,29,1,0,0,0,0,51
KX765265.1,0,0,0,184,1,0,0,0,0,7,0,0,0,0,0,11
HM004513.1,0,0,0,156,2,0,0,0,0,42,0,0,14,0,0,39
MT199882.1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
MH859602.1,0,0,0,24,0,0,0,0,0,1,0,0,0,0,0,2
MW045555.1,0,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0
